UNDER_CONS,RERA,BHK_NO.,SQUARE_FT,READY_TO_M,RESALE,ADDRESS,LONGITUDE,LATITUDE,PIN,Price
"1","0","3",1250.000000000000000,"0","1","Kharadi,Pune",18.543800000000001,73.943799999999996,"411036",76.500000000000000
"1","1","1",485.790072000000009,"0","0","Balkum,Lalitpur",24.690280000000001,78.418890000000005,"284403",64.099999999999994
"0","0","2",725.058004600000004,"1","1","Sector-8 Khanda Colony,Mumbai",19.216097000000001,72.821720999999997,"400049",75.000000000000000
"1","0","1",300.026089200000001,"0","0","Kachimet,Lalitpur",24.690280000000001,78.418890000000005,"284403",11.500000000000000
"0","0","3",1453.846154000000070,"1","1","Ring Road,Indore",20.448626999999998,85.897743000000006,"753001",37.799999999999997
"0","0","3",1269.035532999999987,"1","1","Keerthi Layout,Bangalore",12.969910000000000,77.597960000000000,"560001",55.000000000000000
"1","0","1",630.016051400000038,"0","1","Tera Khas,Lucknow",26.864668000000002,81.065399999999997,"226028",15.699999999999999
"1","1","2",1149.161112000000003,"0","1","Zirakpur,Chandigarh",30.662282999999999,76.822396999999995,"140603",50.000000000000000
"0","0","4",2730.375426999999945,"1","1","Ramagondanahalli,Bangalore",12.969910000000000,77.597960000000000,"560001",240.000000000000000
"0","0","3",1650.165017000000034,"1","1","Sector-15 Bahadurgarh,Bahadurgarh",30.752320999999998,76.772816000000006,"160015",40.000000000000000
"0","1","2",1123.126784999999927,"1","1","Parel,Lalitpur",18.996549000000002,72.842967000000002,"400011",350.000000000000000
"0","0","2",850.030358200000023,"1","1","Thakurpukur,Kolkata",22.461348000000001,88.318427999999997,"700141",28.000000000000000
"0","0","3",1429.646351000000095,"1","1","Tadepalli,Vijayawada",16.609757999999999,80.617778000000001,"520012",57.000000000000000
"0","0","2",855.102040800000054,"1","1","Nanmangalam,Chennai",12.940685000000000,80.177021999999994,"600129",41.899999999999999
"0","0","2",1345.442313999999897,"1","1","Caranzalem,Goa",15.462648000000000,73.804488000000006,"403004",80.000000000000000
"0","0","3",1200.111638000000085,"1","1","Mahajati Nagar,Kolkata",22.541110000000000,88.337779999999995,"700022",43.000000000000000
"0","0","2",1050.052502999999888,"1","1","Crossing Republik,Ghaziabad",28.629811000000000,77.434196999999998,"201009",30.000000000000000
"0","0","2",1161.350263000000041,"1","1","Tolaram Colony,Lalitpur",24.690280000000001,78.418890000000005,"284403",150.000000000000000
"1","0","3",1216.666666999999961,"0","0","Ranidanga,Siliguri",26.675324000000000,88.363010000000003,"734011",29.199999999999999
"0","1","3",1542.971763999999894,"1","1","sector-121 Noida,Noida",28.602325000000000,77.401994000000002,"201301",100.000000000000000
"0","0","5",8301.130671000000802,"1","1","Shanthala Nagar,Bangalore",12.973200000000000,77.599900000000005,"560001",2900.000000000000000
"0","1","3",1585.089140999999927,"1","1","Palanpur,Surat",21.170000000000002,72.829999999999998,"395002",48.899999999999999
"0","0","4",1349.983124999999973,"1","1","Sector-66 Mohali,Mohali",30.673383000000001,76.733924000000002,"140306",40.000000000000000
"0","0","3",1611.721612000000050,"1","1","Undri,Pune",18.452663000000001,73.931039999999996,"411005",110.000000000000000
"0","0","2",800.000000000000000,"1","1","Sembakkam,Chennai",12.926390000000000,80.165000000000006,"600045",35.000000000000000
"0","1","3",1356.187605999999960,"1","1","Sector-143 Noida,Noida",28.503499999999999,77.426446999999996,"210305",72.000000000000000
"0","0","3",1159.745603999999958,"1","1","Nandi Bagan,Kolkata",22.541110000000000,88.337779999999995,"700022",31.000000000000000
"1","0","2",1229.932677000000012,"0","1","Khandagiri,Bhubaneswar",20.257483000000001,85.780141999999998,"751030",47.500000000000000
"1","1","1",414.971521600000017,"0","0","Kasar vadavali,Maharashtra",20.084522000000000,72.900306000000000,"401610",51.000000000000000
"0","0","2",1000.000000000000000,"1","1","Ghodbunder Road,Lalitpur",24.690280000000001,78.418890000000005,"284403",95.000000000000000
"0","0","5",4000.000000000000000,"1","1","Maraimalai Nagar,Chennai",10.782597000000001,79.842123999999998,"611001",180.000000000000000
"0","0","3",2032.520324999999957,"1","1","Sector 82 Faridabad,Faridabad",28.394375000000000,77.357226999999995,"121001",70.000000000000000
"0","0","3",992.248062000000004,"1","1","Satara Parisar,Aurangabad",19.848361000000001,75.306469000000007,"431002",32.000000000000000
"0","0","1",721.119773200000054,"1","1","Budigere,Bangalore",13.141581000000000,77.749756000000005,"562129",40.700000000000003
"0","0","4",3199.913223000000016,"1","1","Prince Anwar Shah Rd.,Kolkata",22.569720000000000,88.369720000000001,"700009",590.000000000000000
"0","1","2",848.630755300000033,"1","1","Raj Nagar Extension,Ghaziabad",26.900925999999998,75.775926999999996,"302001",28.199999999999999
"0","0","3",1880.199667000000090,"1","1","Mullanpur,Chandigarh",30.735279999999999,76.791110000000003,"160018",79.099999999999994
"1","0","2",613.948919400000023,"0","1","Thaiyur,Chennai",12.783329999999999,80.183329999999998,"603103",25.000000000000000
"1","0","1",589.075330200000053,"0","1","Neral,Karjat",19.028496499999999,73.319284499999995,"410101",16.500000000000000
"0","0","2",1200.000000000000000,"1","1","Electronic City,Bangalore",12.845800000000001,77.672700000000006,"560100",36.000000000000000
"0","0","3",987.261146499999995,"1","1","Moovar Nagar,Chennai",13.090000000000000,80.269999999999996,"600001",46.500000000000000
